ID,age,job_id,id_marital,id_education,default,balance,housing,loan,id_contact,day,month,duration,campaign,pdays,previous,id_poutcome,target
102,38,3,S,T,no,493,yes,no,C,11,may,553,1,367,7,F,no
103,49,6,M,S,no,5996,no,no,T,21,nov,345,2,-1,0,U,no
104,57,2,S,P,no,3777,yes,no,T,13,may,65,2,-1,0,U,no
105,34,3,S,S,no,524,no,no,U,13,aug,9,1,-1,0,U,no
106,32,3,S,T,no,574,yes,no,C,14,apr,259,2,145,3,F,no
107,37,4,M,S,no,427,yes,yes,U,9,jun,371,3,-1,0,U,no
108,33,5,M,T,no,483,yes,no,C,3,feb,280,2,-1,0,U,no
109,56,1,M,P,no,3391,no,no,C,21,apr,243,1,-1,0,U,yes
110,27,10,M,P,no,0,yes,no,C,23,jul,435,3,-1,0,U,no
111,21,9,S,S,no,2488,no,no,C,30,jun,258,6,169,3,S,yes
112,58,3,M,T,no,1517,yes,no,T,29,jul,7,5,-1,0,U,no
113,32,5,M,S,no,217,yes,yes,C,15,jul,317,5,-1,0,U,no
114,33,4,S,S,no,22,no,no,C,30,jan,76,2,207,1,F,no
115,25,9,S,S,no,331,no,no,T,26,aug,170,4,-1,0,U,yes
116,25,6,S,S,no,505,no,yes,C,17,nov,386,2,-1,0,U,yes
117,30,2,M,S,no,1808,yes,no,C,18,may,83,2,-1,0,U,no
118,22,8,S,S,no,4111,no,yes,C,19,aug,65,1,-1,0,U,no
119,39,4,M,P,no,52,no,no,C,13,aug,69,1,-1,0,U,no
120,46,3,D,T,no,25,no,no,U,17,jun,564,2,-1,0,U,no
121,31,8,D,S,no,1890,yes,no,C,21,jul,588,1,-1,0,U,no
122,45,4,M,P,no,419,no,no,C,18,aug,113,4,-1,0,U,no
123,32,6,M,S,no,2693,yes,no,U,21,may,16,1,-1,0,U,no
124,36,4,M,S,no,-231,no,yes,C,15,jul,779,2,-1,0,U,no
125,51,3,S,T,yes,-55,yes,no,C,11,may,281,2,266,6,F,no
126,34,5,S,T,no,462,no,no,C,21,aug,1877,3,-1,0,U,yes
127,24,1,S,S,no,119,no,no,U,15,sep,51,1,-1,0,U,no
128,45,6,S,S,no,586,no,yes,C,28,jul,32,3,-1,0,U,no
129,32,4,S,S,no,228,no,no,T,5,feb,176,1,288,3,F,no
130,77,11,D,T,no,4659,no,no,C,14,apr,161,1,-1,0,U,yes
131,41,4,M,P,no,168,yes,no,C,18,nov,187,3,-1,0,U,no
132,37,4,M,P,no,0,yes,no,U,26,may,24,1,-1,0,U,no
133,43,4,M,U,yes,-715,yes,no,U,30,may,67,3,-1,0,U,no
134,48,8,M,U,no,0,yes,no,C,8,may,85,1,168,2,F,no
135,27,6,S,S,no,769,yes,no,U,9,may,317,2,-1,0,U,no
136,33,3,S,T,no,0,no,no,C,28,aug,236,10,-1,0,U,no
137,29,8,S,S,no,428,yes,yes,C,7,may,54,1,345,2,F,no
138,34,3,S,T,no,0,no,no,C,5,feb,71,1,-1,0,U,no
139,52,3,M,T,no,-970,yes,no,C,4,feb,489,1,-1,0,U,yes
140,60,3,M,U,no,6313,no,no,U,19,jun,39,2,-1,0,U,no
141,32,3,D,T,no,948,no,no,C,12,aug,204,2,-1,0,U,no
142,32,3,S,T,no,0,yes,no,C,22,jul,455,2,-1,0,U,no
143,56,2,D,U,no,1877,yes,no,U,30,may,86,1,-1,0,U,no
144,31,3,S,T,no,874,yes,no,C,18,nov,190,2,-1,0,U,no
145,42,8,M,S,no,323,yes,yes,U,8,may,280,2,-1,0,U,no
146,35,3,M,T,no,106,no,yes,C,11,aug,588,2,-1,0,U,no
147,56,11,M,P,no,1906,no,yes,U,19,jun,45,9,-1,0,U,no
148,48,6,M,S,no,1152,yes,no,C,21,jul,168,5,-1,0,U,no
149,46,8,M,S,no,179,yes,no,C,29,jan,194,4,436,1,O,no
150,37,6,S,U,no,391,yes,no,U,8,may,103,3,-1,0,U,no
151,41,7,M,U,no,89,yes,no,U,6,may,333,2,-1,0,U,no
152,36,3,S,T,no,442,yes,yes,C,29,jul,102,3,-1,0,U,no
153,45,1,D,P,yes,-249,yes,yes,U,1,jul,92,1,-1,0,U,no
154,55,7,M,S,no,8104,no,no,C,6,feb,213,2,-1,0,U,no
155,39,6,M,S,no,501,no,no,U,26,may,289,1,-1,0,U,no
156,35,6,D,S,no,308,no,no,C,22,aug,77,2,-1,0,U,no
157,55,8,M,S,no,602,no,no,C,1,jun,324,3,90,2,S,yes
158,55,6,M,S,no,273,yes,no,C,29,jan,84,3,183,3,F,no
159,27,5,S,S,no,50,no,no,C,29,jan,168,1,-1,0,U,no
160,34,6,M,S,no,1641,yes,no,C,17,apr,380,1,-1,0,U,no
161,34,4,M,T,no,20,no,no,U,4,oct,10,1,-1,0,U,no
162,25,8,S,S,no,4590,yes,no,U,28,may,199,2,-1,0,U,no
163,41,8,S,S,no,-256,no,yes,U,9,may,35,3,-1,0,U,no
164,43,2,M,S,no,978,yes,yes,U,26,may,82,2,-1,0,U,no
165,28,3,S,T,no,80,no,no,C,20,oct,676,2,146,2,F,yes
166,31,8,S,S,no,2104,yes,no,U,3,jun,455,1,-1,0,U,no
167,78,10,M,S,no,499,no,no,T,16,mar,80,4,-1,0,U,no
168,45,4,D,S,no,1269,yes,no,C,29,jan,549,2,-1,0,U,no
169,48,6,M,T,no,310,no,no,U,6,may,135,1,-1,0,U,no
170,32,4,S,S,no,1143,yes,yes,C,10,jul,412,1,-1,0,U,no
171,42,6,M,S,no,2980,no,no,U,20,jun,101,3,-1,0,U,no
172,37,3,S,T,no,37,no,no,C,28,jan,253,2,-1,0,U,no
173,40,8,S,S,no,462,yes,yes,C,6,apr,272,1,335,4,O,no
174,32,8,M,S,no,1031,yes,no,C,17,jul,84,1,-1,0,U,no
175,42,3,M,T,no,9009,no,no,C,20,nov,135,2,-1,0,U,no
176,43,8,M,S,no,-465,yes,yes,C,23,jul,166,1,-1,0,U,no
177,44,8,M,S,no,5181,yes,yes,C,31,jul,18,7,-1,0,U,no
178,37,8,M,S,no,176,yes,no,C,5,may,147,2,347,1,F,no
179,37,12,M,U,no,1699,no,no,U,9,jun,63,1,-1,0,U,no
180,37,8,M,T,no,0,yes,no,C,17,nov,65,2,119,1,F,no
181,28,6,S,T,no,172,yes,yes,C,2,feb,194,2,-1,0,U,no
182,32,2,S,S,no,0,no,yes,C,11,jul,333,2,-1,0,U,no
183,34,8,S,S,no,6979,yes,no,C,15,may,14,5,-1,0,U,no
184,40,8,D,S,no,6,no,no,U,11,jun,140,1,-1,0,U,no
185,34,2,M,S,no,-62,yes,no,U,16,jun,109,3,-1,0,U,no
186,34,5,M,T,no,1972,yes,no,C,23,jul,61,2,-1,0,U,no
187,34,8,M,T,no,899,yes,no,T,19,nov,377,3,7,4,S,no
188,37,2,S,S,no,21,yes,no,C,2,feb,96,1,271,2,O,no
189,36,6,M,S,no,23,yes,no,C,8,may,152,2,347,1,F,no
190,56,11,M,S,no,-1206,yes,no,C,15,jun,382,2,-1,0,U,yes
191,49,4,M,P,no,0,yes,yes,T,23,jul,97,6,-1,0,U,no
192,33,5,M,S,no,215,yes,no,C,29,jul,543,12,-1,0,U,no
193,30,3,S,T,no,1372,no,no,C,20,nov,240,2,-1,0,U,no
194,36,2,M,S,no,1981,no,no,U,17,jun,48,2,-1,0,U,no
195,23,9,S,S,no,9216,no,no,C,5,jun,471,2,-1,0,U,no
196,57,11,D,S,no,39,yes,no,C,30,jul,354,3,-1,0,U,no
197,27,4,S,S,no,5563,yes,no,U,30,may,435,2,-1,0,U,no
198,38,2,M,S,no,1,no,yes,C,21,nov,152,2,-1,0,U,no
199,42,6,M,T,no,782,no,no,C,3,apr,285,1,-1,0,U,no
200,75,11,M,S,no,3771,no,no,T,15,apr,185,1,181,2,S,yes
201,34,6,S,T,no,992,yes,no,C,4,may,301,1,88,2,S,no
202,48,6,M,S,no,1526,no,no,C,6,aug,273,2,-1,0,U,no
203,35,6,S,T,no,2658,yes,no,C,19,aug,768,2,141,3,F,yes
204,39,3,D,T,no,1315,yes,no,C,19,nov,1337,4,126,1,F,no
205,29,4,S,T,no,455,no,no,T,21,apr,403,1,-1,0,U,yes
206,45,6,S,T,no,0,yes,no,C,18,nov,139,2,-1,0,U,no
207,42,6,M,S,no,2030,yes,yes,C,9,jul,196,1,-1,0,U,no
208,29,6,M,S,no,1599,yes,no,C,8,jul,115,1,61,1,F,no
209,38,2,S,S,no,-196,yes,no,C,2,feb,60,1,271,1,F,no
210,56,11,M,S,no,1333,no,no,C,28,aug,17,14,-1,0,U,no
211,36,6,S,S,no,9149,yes,no,C,13,aug,141,3,-1,0,U,no
212,25,4,S,S,no,-350,yes,no,U,23,jun,95,3,-1,0,U,no
213,38,6,M,T,no,432,yes,no,C,15,may,10,2,373,1,O,no
214,57,5,M,S,no,11494,no,no,C,19,nov,198,1,-1,0,U,no
215,31,3,M,T,yes,-253,no,no,C,12,aug,220,4,-1,0,U,no
216,42,3,M,T,no,372,yes,no,C,3,aug,654,2,-1,0,U,yes
217,45,6,M,S,no,1410,no,no,C,11,aug,71,2,-1,0,U,no
218,30,4,M,S,no,975,yes,no,C,13,may,256,2,351,2,F,no
219,49,4,M,P,no,305,yes,yes,T,10,jul,834,10,-1,0,U,no
220,49,2,M,S,no,400,no,no,C,21,aug,151,3,-1,0,U,no
221,53,11,M,T,no,-22,yes,no,C,31,jul,20,3,-1,0,U,no
222,37,6,M,S,no,4030,yes,no,U,26,may,178,5,-1,0,U,no
223,49,4,M,P,no,365,no,no,U,26,may,59,2,-1,0,U,no
224,41,5,M,P,no,204,no,no,C,13,aug,111,7,-1,0,U,no
225,54,3,M,P,no,1691,yes,no,C,20,nov,186,1,-1,0,U,no
226,32,2,S,S,no,406,yes,no,U,6,may,227,1,-1,0,U,no
227,33,6,M,S,no,-204,no,no,C,15,may,297,3,-1,0,U,no
228,33,6,M,S,no,359,yes,no,C,20,apr,210,1,242,1,O,no
229,36,4,M,P,no,123,yes,no,C,18,may,9,1,-1,0,U,no
230,35,6,M,T,no,0,yes,yes,C,23,sep,112,1,62,6,O,no
231,52,12,M,S,no,142,no,no,C,25,aug,112,6,-1,0,U,no
232,40,7,M,T,no,3571,no,no,U,9,jun,222,3,-1,0,U,no
233,44,6,S,S,no,33,yes,no,C,13,may,195,3,351,10,F,no
234,45,4,S,S,no,0,yes,no,C,26,jul,768,2,91,5,S,no
235,30,9,S,S,no,3096,no,no,C,26,jan,123,1,-1,0,U,no
236,48,6,D,S,yes,20,no,no,C,27,aug,145,3,-1,0,U,no
237,33,4,M,S,no,3576,yes,no,C,2,apr,124,1,308,2,O,no
238,57,6,M,U,no,206,yes,no,U,5,may,216,3,-1,0,U,no
239,57,10,M,P,no,7082,no,no,U,6,jun,69,3,-1,0,U,no
240,51,1,M,T,no,1634,yes,no,C,22,jul,168,4,-1,0,U,no
241,34,8,S,S,no,1,yes,no,C,22,jul,483,7,-1,0,U,no
242,50,5,M,T,no,4012,no,no,C,19,nov,690,3,-1,0,U,no
243,44,3,M,T,no,3762,no,no,C,28,aug,125,12,-1,0,U,no
244,27,8,M,S,no,-247,yes,yes,U,4,jun,344,2,-1,0,U,no
245,50,4,M,S,no,606,yes,no,U,14,may,673,2,-1,0,U,no
246,36,3,M,T,no,0,yes,no,C,28,jan,60,1,250,1,O,no
247,42,3,M,S,no,-189,yes,no,U,12,may,247,2,-1,0,U,no
248,32,1,S,S,no,0,no,no,C,27,may,123,2,-1,0,U,no
249,42,3,M,T,no,484,yes,no,C,11,jul,144,2,-1,0,U,no
250,43,6,M,S,no,0,no,yes,C,8,may,9,2,172,5,F,no
251,31,3,M,T,no,395,yes,no,C,9,feb,155,3,-1,0,U,no
252,32,3,M,T,no,2349,no,no,C,14,aug,134,5,-1,0,U,no
253,55,4,D,P,no,410,no,yes,C,11,jul,221,2,-1,0,U,no
254,58,11,M,P,no,3401,yes,no,C,3,feb,84,3,265,2,F,no
255,46,4,M,P,no,222,no,no,C,8,aug,71,2,-1,0,U,no
256,55,4,M,S,no,989,yes,yes,U,23,may,246,4,-1,0,U,no
257,34,3,M,T,no,415,no,yes,C,23,jul,361,2,-1,0,U,no
258,28,1,S,S,no,16,no,no,C,12,aug,119,4,-1,0,U,no
259,42,6,D,T,no,7190,yes,no,C,29,jul,375,2,-1,0,U,no
260,29,4,S,S,no,482,no,yes,C,10,jul,1097,3,-1,0,U,yes
261,54,10,M,S,no,209,yes,yes,C,25,jul,97,1,-1,0,U,no
262,32,6,S,S,no,0,no,no,C,26,aug,181,2,-1,0,U,no
263,39,6,S,T,no,5803,no,no,C,2,feb,83,3,-1,0,U,no
264,53,7,M,T,no,624,no,yes,C,21,jul,180,4,-1,0,U,no
265,58,6,M,T,no,883,no,no,C,18,aug,543,1,78,2,F,no
266,40,5,M,S,no,1516,yes,yes,U,23,may,373,1,-1,0,U,no
267,29,9,S,S,no,872,yes,no,U,7,may,230,1,-1,0,U,no
268,33,6,M,T,no,-988,yes,yes,C,15,jul,83,3,-1,0,U,no
269,38,8,S,S,no,902,yes,no,T,31,jul,58,13,-1,0,U,no
270,56,2,D,S,no,1007,no,no,C,29,jul,88,6,-1,0,U,no
271,40,2,M,S,no,0,yes,no,C,2,jun,297,1,28,3,F,no
272,24,4,S,S,no,174,yes,yes,C,18,may,487,1,-1,0,U,yes
273,46,3,M,S,no,12186,no,no,U,20,jun,29,3,-1,0,U,no
274,35,5,M,S,no,524,yes,no,C,21,nov,484,4,-1,0,U,no
275,35,4,S,T,no,0,yes,no,C,21,jul,262,4,-1,0,U,no
276,34,6,M,S,no,4,yes,no,U,15,may,644,1,-1,0,U,no
277,35,10,M,T,no,11219,no,no,C,12,aug,699,2,79,1,F,no
278,38,6,S,T,no,0,no,no,C,28,aug,247,2,-1,0,U,no
279,50,4,M,P,no,5776,no,no,C,18,nov,49,3,-1,0,U,no
280,51,4,D,P,no,37,yes,no,C,13,may,341,1,-1,0,U,no
281,59,5,M,T,no,593,no,no,U,13,may,64,2,-1,0,U,no
282,32,4,M,S,no,1148,yes,no,C,20,apr,121,1,-1,0,U,no
283,37,4,S,S,no,3561,yes,no,U,2,jun,98,1,-1,0,U,no
284,42,8,D,S,no,63,no,no,U,16,may,88,6,-1,0,U,no
285,40,9,M,S,no,260,no,no,U,20,jun,197,6,-1,0,U,no
286,28,6,S,T,no,2269,yes,no,U,9,may,331,1,-1,0,U,no
287,47,8,M,S,no,1060,yes,no,U,6,jun,83,3,-1,0,U,no
288,27,5,M,S,no,-220,yes,no,U,26,may,138,2,-1,0,U,no
289,41,3,M,T,no,49,yes,no,C,17,jul,312,5,-1,0,U,no
290,34,8,M,T,no,69,no,yes,C,4,aug,120,3,1,6,S,yes
291,50,4,M,P,no,4108,yes,no,C,7,aug,526,2,-1,0,U,yes
292,47,4,M,S,no,480,yes,no,U,28,may,211,2,-1,0,U,no
293,53,2,M,S,no,4994,no,no,C,18,aug,62,6,-1,0,U,no
294,53,6,D,S,no,0,yes,yes,C,15,jul,135,5,-1,0,U,no
295,47,3,M,T,no,3681,no,no,C,14,aug,101,2,-1,0,U,no
296,49,7,D,U,yes,-701,yes,no,C,30,jul,988,2,-1,0,U,yes
297,29,3,M,T,no,451,no,no,C,28,jan,451,1,-1,0,U,no
298,45,4,D,P,no,-311,yes,no,U,23,may,1030,1,-1,0,U,yes
299,38,7,M,S,no,593,yes,yes,C,24,jul,1484,24,-1,0,U,yes
300,32,4,M,S,no,759,yes,no,C,9,apr,317,5,-1,0,U,yes
301,70,11,D,P,no,4531,no,no,C,18,may,445,1,-1,0,U,no
302,65,11,D,P,no,1840,no,no,C,1,jun,383,2,188,5,F,no
303,56,4,M,S,no,345,yes,no,T,22,jul,605,1,-1,0,U,no
304,35,4,M,S,no,1287,yes,no,C,14,jul,330,2,-1,0,U,no
305,56,3,M,U,no,353,no,yes,C,25,jul,171,2,-1,0,U,no
306,56,6,M,S,no,205,no,yes,C,23,jul,442,2,-1,0,U,no
307,49,7,M,S,no,687,yes,no,C,17,apr,772,1,-1,0,U,yes
308,38,1,M,P,no,1147,yes,yes,U,8,may,249,5,-1,0,U,no
309,35,3,M,T,no,4286,yes,no,U,9,may,357,1,-1,0,U,no
310,38,8,M,T,no,605,no,no,C,18,nov,147,2,-1,0,U,no
311,49,4,M,S,no,8545,yes,yes,C,6,may,199,7,167,1,F,no
312,55,3,M,U,no,559,no,no,C,28,jan,271,2,-1,0,U,no
313,43,4,S,P,no,2,yes,no,C,30,jul,783,3,-1,0,U,no
314,43,3,M,T,no,2,no,yes,C,20,aug,472,2,-1,0,U,no
315,25,8,S,T,no,760,yes,no,C,27,may,223,3,89,2,F,yes
316,30,4,M,P,no,1317,yes,no,U,21,may,395,2,-1,0,U,no
317,46,4,M,S,no,182,no,no,C,4,feb,56,1,-1,0,U,no
318,50,8,M,P,no,276,no,yes,U,17,jun,641,6,-1,0,U,no
319,35,7,M,S,no,2971,no,no,C,4,may,429,4,164,2,F,yes
320,26,1,S,S,no,1064,no,no,U,31,may,113,1,-1,0,U,no
321,45,8,M,U,no,1783,no,no,U,20,jun,11,11,-1,0,U,no
322,37,4,M,S,no,-67,no,no,C,2,feb,157,1,-1,0,U,no
323,60,5,S,T,no,179,no,yes,C,29,jul,79,4,-1,0,U,no
324,38,3,M,T,no,1199,no,no,C,4,aug,178,1,1,1,S,yes
325,47,4,M,P,no,214,yes,yes,U,9,jun,168,1,-1,0,U,no
326,33,6,M,S,no,6699,no,no,C,9,nov,425,1,462,1,F,no
327,51,1,M,S,no,1760,no,yes,C,19,nov,162,1,-1,0,U,no
328,35,7,S,T,no,145,yes,no,C,18,jul,799,2,-1,0,U,yes
329,35,1,M,S,no,978,no,no,C,29,dec,1370,3,209,3,S,yes
330,48,8,S,S,no,1150,yes,no,U,28,may,357,1,-1,0,U,no
331,37,8,M,S,no,121,no,no,C,22,jul,22,6,-1,0,U,no
332,29,6,S,T,no,828,yes,no,C,16,apr,215,3,321,3,O,no
333,34,8,M,S,no,244,yes,no,C,31,jul,56,4,-1,0,U,no
334,32,2,M,P,no,228,yes,no,C,21,jul,1017,6,-1,0,U,yes
335,30,3,S,T,no,424,no,no,C,16,apr,298,4,-1,0,U,yes
336,47,3,D,T,no,447,no,yes,U,7,may,126,1,-1,0,U,no
337,33,4,M,P,no,-195,no,no,U,20,sep,9,1,-1,0,U,no
338,33,3,S,T,no,1410,yes,no,C,5,feb,8,1,254,5,F,no
339,63,11,M,P,no,1084,no,no,C,14,oct,201,1,183,1,S,no
340,51,5,D,P,no,10924,no,no,C,6,may,106,2,-1,0,U,no
341,41,3,M,T,no,832,yes,yes,C,21,nov,164,1,176,1,F,no
342,56,11,M,T,no,478,no,no,C,5,feb,97,1,-1,0,U,no
343,60,3,S,T,no,0,no,yes,C,23,jul,151,1,-1,0,U,no
344,41,5,S,T,no,3950,yes,no,U,30,may,96,2,-1,0,U,no
345,37,3,S,U,no,504,yes,no,C,16,apr,555,1,-1,0,U,no
346,36,4,S,S,no,219,yes,yes,C,11,may,270,2,347,1,F,no
347,57,3,M,T,no,1602,no,no,C,29,jul,339,3,-1,0,U,no
348,55,3,M,P,no,2587,no,no,C,4,sep,328,2,94,2,S,yes
349,44,8,M,S,no,0,yes,yes,U,16,may,159,1,-1,0,U,no
350,47,5,M,T,no,2303,yes,no,C,6,may,323,2,364,1,F,no
351,31,4,M,S,no,1660,yes,no,C,20,apr,342,1,-1,0,U,no
352,35,3,M,T,yes,32,yes,no,C,21,nov,180,1,-1,0,U,no
353,39,3,M,T,no,278,no,yes,C,28,jul,60,3,-1,0,U,no
354,50,3,M,T,no,4,no,no,C,17,nov,223,1,96,2,F,no
355,29,3,M,T,no,318,yes,no,C,18,may,1434,2,356,4,F,no
356,30,2,S,S,no,209,yes,no,U,6,may,30,2,-1,0,U,no
357,46,2,M,S,no,271,yes,no,U,16,may,134,4,-1,0,U,no
